Wavelength 1,Absolute Irradiance 1,Wavelength 2,Absolute Irradiance 2,Wavelength 3,Absolute Irradiance 3
258.861,0,258.861,0,258.861,0
259.122,0,259.122,0,259.122,0
259.382,0,259.382,0,259.382,0
259.642,0,259.642,0,259.642,0
259.903,0,259.903,0,259.903,0
260.163,0,260.163,0,260.163,0
260.423,0,260.423,0,260.423,0
260.683,0,260.683,0,260.683,0
260.944,0,260.944,0,260.944,0
261.204,0,261.204,0,261.204,0
261.464,0,261.464,0,261.464,0
261.724,0,261.724,0,261.724,0
261.984,0,261.984,0,261.984,0
262.245,0,262.245,0,262.245,0
262.505,0,262.505,0,262.505,0
262.765,0,262.765,0,262.765,0
263.025,0,263.025,0,263.025,0
263.285,0,263.285,0,263.285,0
263.545,0,263.545,0,263.545,0
263.805,0,263.805,0,263.805,0
264.065,0,264.065,0,264.065,0
264.325,0,264.325,0,264.325,0
264.585,0,264.585,0,264.585,0
264.845,0,264.845,0,264.845,0
265.105,0,265.105,0,265.105,0
265.365,0,265.365,0,265.365,0
265.625,0,265.625,0,265.625,0
265.885,0,265.885,0,265.885,0
266.145,0,266.145,0,266.145,0
266.404,0,266.404,0,266.404,0
266.664,0,266.664,0,266.664,0
266.924,0,266.924,0,266.924,0
267.184,0,267.184,0,267.184,0
267.444,0,267.444,0,267.444,0
267.703,0,267.703,0,267.703,0
267.963,0,267.963,0,267.963,0
268.223,0,268.223,0,268.223,0
268.483,0,268.483,0,268.483,0
268.742,0,268.742,0,268.742,0
269.002,0,269.002,0,269.002,0
269.262,0,269.262,0,269.262,0
269.521,0,269.521,0,269.521,0
269.781,0,269.781,0,269.781,0
270.04,0,270.04,0,270.04,0
270.3,0,270.3,0,270.3,0
270.56,0,270.56,0,270.56,0
270.819,0,270.819,0,270.819,0
271.079,0,271.079,0,271.079,0
271.338,0,271.338,0,271.338,0
271.598,0,271.598,0,271.598,0
271.857,0,271.857,0,271.857,0
272.116,0,272.116,0,272.116,0
272.376,0,272.376,0,272.376,0
272.635,0,272.635,0,272.635,0
272.895,0,272.895,0,272.895,0
273.154,0,273.154,0,273.154,0
273.413,0,273.413,0,273.413,0
273.673,0,273.673,0,273.673,0
273.932,0,273.932,0,273.932,0
274.191,0,274.191,0,274.191,0
274.451,0,274.451,0,274.451,0
274.71,0,274.71,0,274.71,0
274.969,0,274.969,0,274.969,0
275.228,0,275.228,0,275.228,0
275.487,0,275.487,0,275.487,0
275.747,0,275.747,0,275.747,0
276.006,0,276.006,0,276.006,0
276.265,0,276.265,0,276.265,0
276.524,0,276.524,0,276.524,0
276.783,0,276.783,0,276.783,0
277.042,0,277.042,0,277.042,0
277.301,0,277.301,0,277.301,0
277.56,0,277.56,0,277.56,0
277.819,0,277.819,0,277.819,0
278.078,0,278.078,0,278.078,0
278.337,0,278.337,0,278.337,0
278.596,0,278.596,0,278.596,0
278.855,0,278.855,0,278.855,0
279.114,0,279.114,0,279.114,0
279.373,0,279.373,0,279.373,0
279.632,0,279.632,0,279.632,0
279.891,0,279.891,0,279.891,0
280.15,0,280.15,0,280.15,0
280.409,0,280.409,0,280.409,0
280.667,0,280.667,0,280.667,0
280.926,0,280.926,0,280.926,0
281.185,0,281.185,0,281.185,0
281.444,0,281.444,0,281.444,0
281.703,0,281.703,0,281.703,0
281.961,0,281.961,0,281.961,0
282.22,0,282.22,0,282.22,0
282.479,0,282.479,0,282.479,0
282.737,0,282.737,0,282.737,0
282.996,0,282.996,0,282.996,0
283.255,0,283.255,0,283.255,0
283.513,0,283.513,0,283.513,0
283.772,0,283.772,0,283.772,0
284.03,0,284.03,0,284.03,0
284.289,0,284.289,0,284.289,0
284.547,0,284.547,0,284.547,0
284.806,0,284.806,0,284.806,0
285.065,0,285.065,0,285.065,0
285.323,0,285.323,0,285.323,0
285.581,0,285.581,0,285.581,0
285.84,0,285.84,0,285.84,0
286.098,0,286.098,0,286.098,0
286.357,0,286.357,0,286.357,0
286.615,0,286.615,0,286.615,0
286.873,0,286.873,0,286.873,0
287.132,0,287.132,0,287.132,0
287.39,0,287.39,0,287.39,0
287.649,0,287.649,0,287.649,0
287.907,0,287.907,0,287.907,0
288.165,0,288.165,0,288.165,0
288.423,0,288.423,0,288.423,0
288.682,0,288.682,0,288.682,0
288.94,0,288.94,0,288.94,0
289.198,0,289.198,0,289.198,0
289.456,0,289.456,0,289.456,0
289.714,0,289.714,0,289.714,0
289.972,0,289.972,0,289.972,0
290.231,0,290.231,0,290.231,0
290.489,0,290.489,0,290.489,0
290.747,0,290.747,0,290.747,0
291.005,0,291.005,0,291.005,0
291.263,0,291.263,0,291.263,0
291.521,0,291.521,0,291.521,0
291.779,0,291.779,0,291.779,0
292.037,0,292.037,0,292.037,0
292.295,0,292.295,0,292.295,0
292.553,0,292.553,0,292.553,0
292.811,0,292.811,0,292.811,0
293.069,0,293.069,0,293.069,0
293.327,0,293.327,0,293.327,0
293.585,0,293.585,0,293.585,0
293.842,0,293.842,0,293.842,0
294.1,0,294.1,0,294.1,0
294.358,0,294.358,0,294.358,0
294.616,0,294.616,0,294.616,0
294.874,0,294.874,0,294.874,0
295.131,0,295.131,0,295.131,0
295.389,0,295.389,0,295.389,0
295.647,0,295.647,0,295.647,0
295.905,0,295.905,0,295.905,0
296.162,0,296.162,0,296.162,0
296.42,0,296.42,0,296.42,0
296.678,0,296.678,0,296.678,0
296.935,0,296.935,0,296.935,0
297.193,0,297.193,0,297.193,0
297.451,0,297.451,0,297.451,0
297.708,0,297.708,0,297.708,0
297.966,0,297.966,0,297.966,0
298.223,0,298.223,0,298.223,0
298.481,0,298.481,0,298.481,0
298.738,0,298.738,0,298.738,0
298.996,0,298.996,0,298.996,0
299.253,0,299.253,0,299.253,0
299.511,0,299.511,0,299.511,0
299.768,0,299.768,0,299.768,0
300.026,0,300.026,0,300.026,0
300.283,0,300.283,0,300.283,0
300.54,0,300.54,0,300.54,0
300.798,0,300.798,0,300.798,0
301.055,0,301.055,0,301.055,0
301.312,0,301.312,0,301.312,0
301.57,0,301.57,0,301.57,0
301.827,0,301.827,0,301.827,0
302.084,0,302.084,0,302.084,0
302.342,0,302.342,0,302.342,0
302.599,0,302.599,0,302.599,0
302.856,0,302.856,0,302.856,0
303.113,0,303.113,0,303.113,0
303.37,0,303.37,0,303.37,0
303.627,0,303.627,0,303.627,0
303.885,0,303.885,0,303.885,0
304.142,0,304.142,0,304.142,0
304.399,0,304.399,0,304.399,0
304.656,0,304.656,0,304.656,0
304.913,0,304.913,0,304.913,0
305.17,0,305.17,0,305.17,0
