LED - 1cm,,Florescent - Peak Equivalent to LED 90uW/cm^2/nm peak,,Florescent - Peak Equivalent to LED 90uW/cm^2/nm peak,,Florescent - Peak Equivalent to LED 90uW/cm^2/nm peak,,Florescent- 1cm,,Florescent- 1cm,,Florescent- 1cm,
Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance,Wavelength,Absolute Irradiance
229.056,0,229.056,0,229.056,0,229.056,0,229.056,0,229.056,0,229.056,0
229.318,0,229.318,0,229.318,0,229.318,0,229.318,0,229.318,0,229.318,0
229.581,0,229.581,0,229.581,0,229.581,0,229.581,0,229.581,0,229.581,0
229.843,0,229.843,0,229.843,0,229.843,0,229.843,0,229.843,0,229.843,0
230.106,0,230.106,0,230.106,0,230.106,0,230.106,0,230.106,0,230.106,0
230.368,0,230.368,0,230.368,0,230.368,0,230.368,0,230.368,0,230.368,0
230.631,0,230.631,0,230.631,0,230.631,0,230.631,0,230.631,0,230.631,0
230.893,0,230.893,0,230.893,0,230.893,0,230.893,0,230.893,0,230.893,0
231.155,0,231.155,0,231.155,0,231.155,0,231.155,0,231.155,0,231.155,0
231.418,0,231.418,0,231.418,0,231.418,0,231.418,0,231.418,0,231.418,0
231.68,0,231.68,0,231.68,0,231.68,0,231.68,0,231.68,0,231.68,0
231.942,0,231.942,0,231.942,0,231.942,0,231.942,0,231.942,0,231.942,0
232.205,0,232.205,0,232.205,0,232.205,0,232.205,0,232.205,0,232.205,0
232.467,0,232.467,0,232.467,0,232.467,0,232.467,0,232.467,0,232.467,0
232.729,0,232.729,0,232.729,0,232.729,0,232.729,0,232.729,0,232.729,0
232.992,0,232.992,0,232.992,0,232.992,0,232.992,0,232.992,0,232.992,0
233.254,0,233.254,0,233.254,0,233.254,0,233.254,0,233.254,0,233.254,0
233.516,0,233.516,0,233.516,0,233.516,0,233.516,0,233.516,0,233.516,0
233.778,0,233.778,0,233.778,0,233.778,0,233.778,0,233.778,0,233.778,0
234.04,0,234.04,0,234.04,0,234.04,0,234.04,0,234.04,0,234.04,0
234.302,0,234.302,0,234.302,0,234.302,0,234.302,0,234.302,0,234.302,0
234.565,0,234.565,0,234.565,0,234.565,0,234.565,0,234.565,0,234.565,0
234.827,0,234.827,0,234.827,0,234.827,0,234.827,0,234.827,0,234.827,0
235.089,0,235.089,0,235.089,0,235.089,0,235.089,0,235.089,0,235.089,0
235.351,0,235.351,0,235.351,0,235.351,0,235.351,0,235.351,0,235.351,0
235.613,0,235.613,0,235.613,0,235.613,0,235.613,0,235.613,0,235.613,0
235.875,0,235.875,0,235.875,0,235.875,0,235.875,0,235.875,0,235.875,0
236.137,0,236.137,0,236.137,0,236.137,0,236.137,0,236.137,0,236.137,0
236.399,0,236.399,0,236.399,0,236.399,0,236.399,0,236.399,0,236.399,0
236.661,0,236.661,0,236.661,0,236.661,0,236.661,0,236.661,0,236.661,0
236.923,0,236.923,0,236.923,0,236.923,0,236.923,0,236.923,0,236.923,0
237.185,0,237.185,0,237.185,0,237.185,0,237.185,0,237.185,0,237.185,0
237.447,0,237.447,0,237.447,0,237.447,0,237.447,0,237.447,0,237.447,0
237.709,0,237.709,0,237.709,0,237.709,0,237.709,0,237.709,0,237.709,0
237.971,0,237.971,0,237.971,0,237.971,0,237.971,0,237.971,0,237.971,0
238.233,0,238.233,0,238.233,0,238.233,0,238.233,0,238.233,0,238.233,0
238.494,0,238.494,0,238.494,0,238.494,0,238.494,0,238.494,0,238.494,0
238.756,0,238.756,0,238.756,0,238.756,0,238.756,0,238.756,0,238.756,0
239.018,0,239.018,0,239.018,0,239.018,0,239.018,0,239.018,0,239.018,0
239.28,0,239.28,0,239.28,0,239.28,0,239.28,0,239.28,0,239.28,0
239.542,0,239.542,0,239.542,0,239.542,0,239.542,0,239.542,0,239.542,0
239.803,0,239.803,0,239.803,0,239.803,0,239.803,0,239.803,0,239.803,0
240.065,0,240.065,0,240.065,0,240.065,0,240.065,0,240.065,0,240.065,0
240.327,0,240.327,0,240.327,0,240.327,0,240.327,0,240.327,0,240.327,0
240.589,0,240.589,0,240.589,0,240.589,0,240.589,0,240.589,0,240.589,0
240.85,0,240.85,0,240.85,0,240.85,0,240.85,0,240.85,0,240.85,0
241.112,0,241.112,0,241.112,0,241.112,0,241.112,0,241.112,0,241.112,0
241.374,0,241.374,0,241.374,0,241.374,0,241.374,0,241.374,0,241.374,0
241.635,0,241.635,0,241.635,0,241.635,0,241.635,0,241.635,0,241.635,0
241.897,0,241.897,0,241.897,0,241.897,0,241.897,0,241.897,0,241.897,0
242.158,0,242.158,0,242.158,0,242.158,0,242.158,0,242.158,0,242.158,0
242.42,0,242.42,0,242.42,0,242.42,0,242.42,0,242.42,0,242.42,0
242.681,0,242.681,0,242.681,0,242.681,0,242.681,0,242.681,0,242.681,0
242.943,0,242.943,0,242.943,0,242.943,0,242.943,0,242.943,0,242.943,0
243.205,0,243.205,0,243.205,0,243.205,0,243.205,0,243.205,0,243.205,0
243.466,0,243.466,0,243.466,0,243.466,0,243.466,0,243.466,0,243.466,0
243.727,0,243.727,0,243.727,0,243.727,0,243.727,0,243.727,0,243.727,0
243.989,0,243.989,0,243.989,0,243.989,0,243.989,0,243.989,0,243.989,0
244.25,0,244.25,0,244.25,0,244.25,0,244.25,0,244.25,0,244.25,0
244.512,0,244.512,0,244.512,0,244.512,0,244.512,0,244.512,0,244.512,0
244.773,0,244.773,0,244.773,0,244.773,0,244.773,0,244.773,0,244.773,0
245.035,0,245.035,0,245.035,0,245.035,0,245.035,0,245.035,0,245.035,0
245.296,0,245.296,0,245.296,0,245.296,0,245.296,0,245.296,0,245.296,0
245.557,0,245.557,0,245.557,0,245.557,0,245.557,0,245.557,0,245.557,0
245.819,0,245.819,0,245.819,0,245.819,0,245.819,0,245.819,0,245.819,0
246.08,0,246.08,0,246.08,0,246.08,0,246.08,0,246.08,0,246.08,0
246.341,0,246.341,0,246.341,0,246.341,0,246.341,0,246.341,0,246.341,0
246.603,0,246.603,0,246.603,0,246.603,0,246.603,0,246.603,0,246.603,0
246.864,0,246.864,0,246.864,0,246.864,0,246.864,0,246.864,0,246.864,0
247.125,0,247.125,0,247.125,0,247.125,0,247.125,0,247.125,0,247.125,0
247.386,0,247.386,0,247.386,0,247.386,0,247.386,0,247.386,0,247.386,0
247.647,0,247.647,0,247.647,0,247.647,0,247.647,0,247.647,0,247.647,0
247.909,0,247.909,0,247.909,0,247.909,0,247.909,0,247.909,0,247.909,0
248.17,0,248.17,0,248.17,0,248.17,0,248.17,0,248.17,0,248.17,0
248.431,0,248.431,0,248.431,0,248.431,0,248.431,0,248.431,0,248.431,0
248.692,0,248.692,0,248.692,0,248.692,0,248.692,0,248.692,0,248.692,0
248.953,0,248.953,0,248.953,0,248.953,0,248.953,0,248.953,0,248.953,0
249.214,0,249.214,0,249.214,0,249.214,0,249.214,0,249.214,0,249.214,0
249.475,0,249.475,0,249.475,0,249.475,0,249.475,0,249.475,0,249.475,0
249.736,0,249.736,0,249.736,0,249.736,0,249.736,0,249.736,0,249.736,0
249.997,0,249.997,0,249.997,0,249.997,0,249.997,0,249.997,0,249.997,0
250.258,0,250.258,0,250.258,0,250.258,0,250.258,0,250.258,0,250.258,0
250.519,0,250.519,0,250.519,0,250.519,0,250.519,0,250.519,0,250.519,0
250.78,0,250.78,0,250.78,0,250.78,0,250.78,0,250.78,0,250.78,0
251.041,0,251.041,0,251.041,0,251.041,0,251.041,0,251.041,0,251.041,0
251.302,0,251.302,0,251.302,0,251.302,0,251.302,0,251.302,0,251.302,0
251.563,0,251.563,0,251.563,0,251.563,0,251.563,0,251.563,0,251.563,0
251.824,0,251.824,0,251.824,0,251.824,0,251.824,0,251.824,0,251.824,0
252.085,0,252.085,0,252.085,0,252.085,0,252.085,0,252.085,0,252.085,0
252.346,0,252.346,0,252.346,0,252.346,0,252.346,0,252.346,0,252.346,0
252.607,0,252.607,0,252.607,0,252.607,0,252.607,0,252.607,0,252.607,0
252.867,0,252.867,0,252.867,0,252.867,0,252.867,0,252.867,0,252.867,0
253.128,0,253.128,0,253.128,0,253.128,0,253.128,0,253.128,0,253.128,0
253.389,0,253.389,0,253.389,0,253.389,0,253.389,0,253.389,0,253.389,0
253.65,0,253.65,0,253.65,0,253.65,0,253.65,0,253.65,0,253.65,0
253.911,0,253.911,0,253.911,0,253.911,0,253.911,0,253.911,0,253.911,0
254.171,0,254.171,0,254.171,0,254.171,0,254.171,0,254.171,0,254.171,0
254.432,0,254.432,0,254.432,0,254.432,0,254.432,0,254.432,0,254.432,0
254.693,0,254.693,0,254.693,0,254.693,0,254.693,0,254.693,0,254.693,0
254.953,0,254.953,0,254.953,0,254.953,0,254.953,0,254.953,0,254.953,0
255.214,0,255.214,0,255.214,0,255.214,0,255.214,0,255.214,0,255.214,0
255.475,0,255.475,0,255.475,0,255.475,0,255.475,0,255.475,0,255.475,0
255.735,0,255.735,0,255.735,0,255.735,0,255.735,0,255.735,0,255.735,0
255.996,0,255.996,0,255.996,0,255.996,0,255.996,0,255.996,0,255.996,0
256.256,0,256.256,0,256.256,0,256.256,0,256.256,0,256.256,0,256.256,0
256.517,0,256.517,0,256.517,0,256.517,0,256.517,0,256.517,0,256.517,0
256.778,0,256.778,0,256.778,0,256.778,0,256.778,0,256.778,0,256.778,0
257.038,0,257.038,0,257.038,0,257.038,0,257.038,0,257.038,0,257.038,0
257.299,0,257.299,0,257.299,0,257.299,0,257.299,0,257.299,0,257.299,0
257.559,0,257.559,0,257.559,0,257.559,0,257.559,0,257.559,0,257.559,0
257.82,0,257.82,0,257.82,0,257.82,0,257.82,0,257.82,0,257.82,0
258.08,0,258.08,0,258.08,0,258.08,0,258.08,0,258.08,0,258.08,0
258.34,0,258.34,0,258.34,0,258.34,0,258.34,0,258.34,0,258.34,0
258.601,0,258.601,0,258.601,0,258.601,0,258.601,0,258.601,0,258.601,0
258.861,0,258.861,0,258.861,0,258.861,0,258.861,0,258.861,0,258.861,0
259.122,0,259.122,0,259.122,0,259.122,0,259.122,0,259.122,0,259.122,0
259.382,0,259.382,0,259.382,0,259.382,0,259.382,0,259.382,0,259.382,0
259.642,0,259.642,0,259.642,0,259.642,0,259.642,0,259.642,0,259.642,0
259.903,0,259.903,0,259.903,0,259.903,0,259.903,0,259.903,0,259.903,0
260.163,0,260.163,0,260.163,0,260.163,0,260.163,0,260.163,0,260.163,0
260.423,0,260.423,0,260.423,0,260.423,0,260.423,0,260.423,0,260.423,0
260.683,0,260.683,0,260.683,0,260.683,0,260.683,0,260.683,0,260.683,0
260.944,0,260.944,0,260.944,0,260.944,0,260.944,0,260.944,0,260.944,0
261.204,0,261.204,0,261.204,0,261.204,0,261.204,0,261.204,0,261.204,0
261.464,0,261.464,0,261.464,0,261.464,0,261.464,0,261.464,0,261.464,0
261.724,0,261.724,0,261.724,0,261.724,0,261.724,0,261.724,0,261.724,0
261.984,0,261.984,0,261.984,0,261.984,0,261.984,0,261.984,0,261.984,0
262.245,0,262.245,0,262.245,0,262.245,0,262.245,0,262.245,0,262.245,0
262.505,0,262.505,0,262.505,0,262.505,0,262.505,0,262.505,0,262.505,0
262.765,0,262.765,0,262.765,0,262.765,0,262.765,0,262.765,0,262.765,0
263.025,0,263.025,0,263.025,0,263.025,0,263.025,0,263.025,0,263.025,0
263.285,0,263.285,0,263.285,0,263.285,0,263.285,0,263.285,0,263.285,0
263.545,0,263.545,0,263.545,0,263.545,0,263.545,0,263.545,0,263.545,0
263.805,0,263.805,0,263.805,0,263.805,0,263.805,0,263.805,0,263.805,0
264.065,0,264.065,0,264.065,0,264.065,0,264.065,0,264.065,0,264.065,0
264.325,0,264.325,0,264.325,0,264.325,0,264.325,0,264.325,0,264.325,0
264.585,0,264.585,0,264.585,0,264.585,0,264.585,0,264.585,0,264.585,0
264.845,0,264.845,0,264.845,0,264.845,0,264.845,0,264.845,0,264.845,0
265.105,0,265.105,0,265.105,0,265.105,0,265.105,0,265.105,0,265.105,0
265.365,0,265.365,0,265.365,0,265.365,0,265.365,0,265.365,0,265.365,0
265.625,0,265.625,0,265.625,0,265.625,0,265.625,0,265.625,0,265.625,0
265.885,0,265.885,0,265.885,0,265.885,0,265.885,0,265.885,0,265.885,0
266.145,0,266.145,0,266.145,0,266.145,0,266.145,0,266.145,0,266.145,0
266.404,0,266.404,0,266.404,0,266.404,0,266.404,0,266.404,0,266.404,0
266.664,0,266.664,0,266.664,0,266.664,0,266.664,0,266.664,0,266.664,0
266.924,0,266.924,0,266.924,0,266.924,0,266.924,0,266.924,0,266.924,0
267.184,0,267.184,0,267.184,0,267.184,0,267.184,0,267.184,0,267.184,0
267.444,0,267.444,0,267.444,0,267.444,0,267.444,0,267.444,0,267.444,0
267.703,0,267.703,0,267.703,0,267.703,0,267.703,0,267.703,0,267.703,0
267.963,0,267.963,0,267.963,0,267.963,0,267.963,0,267.963,0,267.963,0
268.223,0,268.223,0,268.223,0,268.223,0,268.223,0,268.223,0,268.223,0
268.483,0,268.483,0,268.483,0,268.483,0,268.483,0,268.483,0,268.483,0
268.742,0,268.742,0,268.742,0,268.742,0,268.742,0,268.742,0,268.742,0
269.002,0,269.002,0,269.002,0,269.002,0,269.002,0,269.002,0,269.002,0
269.262,0,269.262,0,269.262,0,269.262,0,269.262,0,269.262,0,269.262,0
269.521,0,269.521,0,269.521,0,269.521,0,269.521,0,269.521,0,269.521,0
269.781,0,269.781,0,269.781,0,269.781,0,269.781,0,269.781,0,269.781,0
270.04,0,270.04,0,270.04,0,270.04,0,270.04,0,270.04,0,270.04,0
270.3,0,270.3,0,270.3,0,270.3,0,270.3,0,270.3,0,270.3,0
270.56,0,270.56,0,270.56,0,270.56,0,270.56,0,270.56,0,270.56,0
270.819,0,270.819,0,270.819,0,270.819,0,270.819,0,270.819,0,270.819,0
271.079,0,271.079,0,271.079,0,271.079,0,271.079,0,271.079,0,271.079,0
271.338,0,271.338,0,271.338,0,271.338,0,271.338,0,271.338,0,271.338,0
271.598,0,271.598,0,271.598,0,271.598,0,271.598,0,271.598,0,271.598,0
271.857,0,271.857,0,271.857,0,271.857,0,271.857,0,271.857,0,271.857,0
272.116,0,272.116,0,272.116,0,272.116,0,272.116,0,272.116,0,272.116,0
272.376,0,272.376,0,272.376,0,272.376,0,272.376,0,272.376,0,272.376,0
272.635,0,272.635,0,272.635,0,272.635,0,272.635,0,272.635,0,272.635,0
272.895,0,272.895,0,272.895,0,272.895,0,272.895,0,272.895,0,272.895,0
273.154,0,273.154,0,273.154,0,273.154,0,273.154,0,273.154,0,273.154,0
273.413,0,273.413,0,273.413,0,273.413,0,273.413,0,273.413,0,273.413,0
273.673,0,273.673,0,273.673,0,273.673,0,273.673,0,273.673,0,273.673,0
273.932,0,273.932,0,273.932,0,273.932,0,273.932,0,273.932,0,273.932,0
274.191,0,274.191,0,274.191,0,274.191,0,274.191,0,274.191,0,274.191,0
274.451,0,274.451,0,274.451,0,274.451,0,274.451,0,274.451,0,274.451,0
274.71,0,274.71,0,274.71,0,274.71,0,274.71,0,274.71,0,274.71,0
274.969,0,274.969,0,274.969,0,274.969,0,274.969,0,274.969,0,274.969,0
275.228,0,275.228,0,275.228,0,275.228,0,275.228,0,275.228,0,275.228,0
275.487,0,275.487,0,275.487,0,275.487,0,275.487,0,275.487,0,275.487,0
275.747,0,275.747,0,275.747,0,275.747,0,275.747,0,275.747,0,275.747,0
276.006,0,276.006,0,276.006,0,276.006,0,276.006,0,276.006,0,276.006,0
276.265,0,276.265,0,276.265,0,276.265,0,276.265,0,276.265,0,276.265,0
276.524,0,276.524,0,276.524,0,276.524,0,276.524,0,276.524,0,276.524,0
276.783,0,276.783,0,276.783,0,276.783,0,276.783,0,276.783,0,276.783,0
