Wavelength 1,Absolute Irradiance 1
378.671,0.11
378.922,0.1
379.174,0.11
379.426,0.11
379.677,0.1
379.929,0.11
380.18,0.11
380.432,0.1
380.683,0.11
380.935,0.1
381.186,0.1
381.437,0.11
381.689,0.11
381.94,0.1
382.192,0.09
382.443,0.09
382.694,0.1
382.946,0.08
383.197,0.09
383.448,0.08
383.699,0.08
383.951,0.08
384.202,0.07
384.453,0.08
384.704,0.09
384.955,0.09
385.207,0.1
385.458,0.1
385.709,0.09
385.96,0.09
386.211,0.09
386.462,0.07
386.713,0.07
386.964,0.08
387.215,0.08
387.466,0.09
387.717,0.09
387.968,0.08
388.219,0.1
388.47,0.1
388.721,0.1
388.972,0.09
389.222,0.09
389.473,0.09
389.724,0.08
389.975,0.07
390.226,0.07
390.476,0.07
390.727,0.07
390.978,0.07
391.228,0.07
391.479,0.07
391.73,0.07
391.98,0.08
392.231,0.08
392.482,0.07
392.732,0.07
392.983,0.08
393.233,0.08
393.484,0.08
393.734,0.08
393.985,0.09
394.235,0.1
394.486,0.09
394.736,0.1
394.987,0.09
395.237,0.08
395.487,0.1
395.738,0.1
395.988,0.09
396.238,0.1
396.489,0.1
396.739,0.09
396.989,0.1
397.24,0.1
397.49,0.09
397.74,0.09
397.99,0.09
398.24,0.1
398.49,0.1
398.741,0.09
398.991,0.09
399.241,0.08
399.491,0.08
399.741,0.08
399.991,0.07
400.241,0.08
400.491,0.09
400.741,0.08
400.991,0.08
401.241,0.09
401.491,0.06
401.741,0.03
401.991,0
402.241,
402.49,
402.74,
402.99,
403.24,
403.49,
403.739,
403.989,
404.239,
404.489,
404.738,
404.988,
405.238,
405.487,
405.737,
405.986,
406.236,
406.486,
406.735,
406.985,
407.234,
407.484,
407.733,0.01
407.982,0.03
408.232,0.05
408.481,0.06
408.731,0.07
408.98,0.08
409.229,0.08
409.479,0.08
409.728,0.09
409.977,0.11
410.227,0.12
410.476,0.13
410.725,0.14
410.974,0.13
411.223,0.15
411.473,0.14
411.722,0.15
411.971,0.16
412.22,0.16
412.469,0.17
412.718,0.19
412.967,0.19
413.216,0.2
413.465,0.19
413.714,0.19
413.963,0.2
414.212,0.2
414.461,0.21
414.71,0.23
414.959,0.23
415.208,0.24
415.457,0.25
415.706,0.26
415.955,0.27
416.204,0.3
416.452,0.31
416.701,0.35
416.95,0.35
417.199,0.36
